dealer	player	hit	stay	double	hit	stay	double
3	12	0.329	0.373	0.365	[2633, 562, 4805]	[2988, 0, 5012]	[2920, 412, 4668]
3	12A	0.468	0.351	0.497	[468, 110, 422]	[351, 0, 649]	[497, 57, 446]
3	13	0.313	0.379	0.322	[2190, 400, 4410]	[2650, 0, 4350]	[2252, 335, 4413]
3	13A	0.469	0.38	0.472	[469, 109, 422]	[380, 0, 620]	[472, 58, 470]
3	14	0.279	0.375	0.311	[1951, 350, 4699]	[2628, 0, 4372]	[2179, 345, 4476]
3	14A	0.432	0.36	0.484	[432, 100, 468]	[360, 0, 640]	[484, 41, 475]
3	15	0.263	0.366	0.279	[1578, 280, 4142]	[2195, 0, 3805]	[1673, 335, 3992]
3	15A	0.436	0.374	0.489	[436, 85, 479]	[374, 0, 626]	[489, 38, 473]
3	16	0.242	0.393	0.261	[1452, 332, 4216]	[2358, 0, 3642]	[1563, 291, 4146]
3	16A	0.388	0.383	0.482	[388, 98, 514]	[383, 0, 617]	[482, 44, 474]
3	17	0.192	0.349	0.205	[961, 212, 3827]	[1747, 615, 2638]	[1026, 231, 3743]
3	17A	0.433	0.379	0.466	[433, 94, 473]	[379, 130, 491]	[466, 83, 451]
3	18	0.182	0.484	0.171	[912, 105, 3983]	[2418, 731, 1851]	[855, 145, 4000]
3	18A	0.474	0.518	0.474	[474, 110, 416]	[518, 128, 354]	[474, 81, 445]
3	19	0.139	0.644	0.136	[556, 60, 3384]	[2576, 516, 908]	[544, 80, 3376]
3	19A	0.495	0.631	0.537	[495, 109, 396]	[631, 121, 248]	[537, 76, 387]
3	20	0.065	0.753	0.064	[260, 48, 3692]	[3012, 424, 564]	[256, 60, 3684]
3	20A	0.512	0.757	0.551	[512, 102, 386]	[757, 117, 126]	[551, 80, 369]
4	2A	0.491	0.402	0.501	[491, 103, 406]	[402, 0, 598]	[501, 42, 457]
4	3A	0.482	0.381	0.509	[482, 96, 422]	[381, 0, 619]	[509, 45, 446]
4	4	0.392	0.39	0.406	[392, 73, 535]	[390, 0, 610]	[406, 0, 594]
4	4A	0.472	0.383	0.477	[472, 71, 457]	[383, 0, 617]	[477, 45, 478]
4	5	0.375	0.395	0.36	[375, 75, 550]	[395, 0, 605]	[360, 0, 640]
4	5A	0.442	0.398	0.47	[442, 72, 486]	[398, 0, 602]	[470, 47, 483]
4	6	0.342	0.397	0.416	[683, 131, 1186]	[793, 0, 1207]	[832, 19, 1149]
4	6A	0.433	0.353	0.478	[433, 75, 492]	[353, 0, 647]	[478, 46, 476]
4	7	0.392	0.393	0.39	[783, 165, 1052]	[785, 0, 1215]	[780, 90, 1130]
4	7A	0.414	0.378	0.517	[414, 104, 482]	[378, 154, 468]	[517, 65, 418]
4	8	0.435	0.392	0.45	[1305, 263, 1432]	[1175, 0, 1825]	[1349, 174, 1477]
4	8A	0.484	0.545	0.511	[484, 93, 423]	[545, 127, 328]	[511, 90, 399]
4	9	0.468	0.395	0.54	[1403, 277, 1320]	[1186, 0, 1814]	[1620, 177, 1203]
4	9A	0.48	0.657	0.569	[480, 91, 429]	[657, 100, 243]	[569, 94, 337]
4	10	0.54	0.385	0.588	[2161, 383, 1456]	[1539, 0, 2461]	[2350, 291, 1359]
4	10A	0.515	0.761	0.601	[515, 89, 396]	[761, 115, 124]	[601, 75, 324]
4	11	0.556	0.401	0.605	[2226, 369, 1405]	[1604, 0, 2396]	[2421, 287, 1292]
4	11A	0.578	0.87	0.596	[2312, 348, 1340]	[3480, 520, 0]	[2384, 312, 1304]
4	12	0.324	0.383	0.38	[2593, 540, 4867]	[3063, 0, 4937]	[3038, 380, 4582]
4	12A	0.521	0.39	0.484	[521, 95, 384]	[390, 0, 610]	[484, 45, 471]
4	13	0.304	0.403	0.356	[2131, 398, 4471]	[2824, 0, 4176]	[2489, 283, 4228]
4	13A	0.473	0.367	0.494	[473, 83, 444]	[367, 0, 633]	[494, 48, 458]
4	14	0.294	0.396	0.323	[2060, 374, 4566]	[2774, 0, 4226]	[2258, 319, 4423]
4	14A	0.453	0.395	0.502	[453, 82, 465]	[395, 0, 605]	[502, 50, 448]
4	15	0.255	0.402	0.273	[1528, 322, 4150]	[2411, 0, 3589]	[1636, 301, 4063]
4	15A	0.42	0.398	0.467	[420, 95, 485]	[398, 0, 602]	[467, 43, 490]
4	16	0.24	0.4	0.238	[1441, 313, 4246]	[2400, 0, 3600]	[1426, 306, 4268]
4	16A	0.407	0.387	0.487	[407, 73, 520]	[387, 0, 613]	[487, 39, 474]
4	17	0.205	0.385	0.227	[1025, 181, 3794]	[1924, 730, 2346]	[1133, 165, 3702]
4	17A	0.474	0.388	0.471	[474, 85, 441]	[388, 127, 485]	[471, 75, 454]
4	18	0.196	0.526	0.187	[980, 138, 3882]	[2631, 619, 1750]	[936, 148, 3916]
4	18A	0.483	0.523	0.536	[483, 97, 420]	[523, 130, 347]	[536, 78, 386]
4	19	0.132	0.649	0.148	[528, 64, 3408]	[2596, 476, 928]	[592, 52, 3356]
4	19A	0.503	0.663	0.561	[503, 107, 390]	[663, 112, 225]	[561, 69, 370]
4	20	0.059	0.773	0.062	[236, 28, 3736]	[3092, 488, 420]	[248, 24, 3728]
4	20A	0.55	0.754	0.576	[550, 98, 352]	[754, 122, 124]	[576, 73, 351]
5	2A	0.496	0.388	0.494	[496, 84, 420]	[388, 0, 612]	[494, 36, 470]
5	3A	0.465	0.409	0.513	[465, 102, 433]	[409, 0, 591]	[513, 47, 440]
5	4	0.417	0.392	0.421	[417, 77, 506]	[392, 0, 608]	[421, 0, 579]
5	4A	0.481	0.44	0.524	[481, 76, 443]	[440, 0, 560]	[524, 48, 428]
5	5	0.384	0.434	0.425	[384, 65, 551]	[434, 0, 566]	[425, 0, 575]
5	5A	0.463	0.417	0.504	[463, 74, 463]	[417, 0, 583]	[504, 62, 434]
5	6	0.364	0.428	0.411	[728, 139, 1133]	[857, 0, 1143]	[822, 14, 1164]
5	6A	0.426	0.396	0.5	[426, 67, 507]	[396, 0, 604]	[500, 45, 455]
5	7	0.428	0.441	0.426	[857, 191, 952]	[881, 0, 1119]	[852, 88, 1060]
5	7A	0.453	0.401	0.491	[453, 82, 465]	[401, 133, 466]	[491, 79, 430]
5	8	0.45	0.413	0.493	[1351, 260, 1389]	[1238, 0, 1762]	[1478, 188, 1334]
5	8A	0.52	0.561	0.505	[520, 91, 389]	[561, 94, 345]	[505, 80, 415]
5	9	0.504	0.411	0.531	[1511, 280, 1209]	[1232, 0, 1768]	[1592, 185, 1223]
5	9A	0.511	0.646	0.577	[511, 94, 395]	[646, 119, 235]	[577, 65, 358]
5	10	0.554	0.423	0.6	[2218, 347, 1435]	[1693, 0, 2307]	[2401, 289, 1310]
5	10A	0.517	0.777	0.604	[517, 94, 389]	[777, 106, 117]	[604, 73, 323]
5	11	0.565	0.429	0.63	[2260, 342, 1398]	[1715, 0, 2285]	[2519, 263, 1218]
5	11A	0.583	0.886	0.615	[2332, 340, 1328]	[3544, 456, 0]	[2460, 280, 1260]
5	12	0.341	0.407	0.367	[2729, 484, 4787]	[3254, 0, 4746]	[2935, 362, 4703]
5	12A	0.496	0.424	0.515	[496, 86, 418]	[424, 0, 576]	[515, 53, 432]
5	13	0.313	0.418	0.343	[2191, 392, 4417]	[2924, 0, 4076]	[2399, 345, 4256]
5	13A	0.456	0.419	0.504	[456, 89, 455]	[419, 0, 581]	[504, 51, 445]
5	14	0.292	0.411	0.323	[2043, 363, 4594]	[2877, 0, 4123]	[2262, 275, 4463]
5	14A	0.434	0.427	0.485	[434, 93, 473]	[427, 0, 573]	[485, 58, 457]
5	15	0.277	0.431	0.276	[1661, 291, 4048]	[2584, 0, 3416]	[1653, 272, 4075]
5	15A	0.42	0.409	0.494	[420, 74, 506]	[409, 0, 591]	[494, 46, 460]
5	16	0.267	0.418	0.243	[1599, 297, 4104]	[2506, 0, 3494]	[1461, 279, 4260]
5	16A	0.419	0.425	0.543	[419, 69, 512]	[425, 0, 575]	[543, 39, 418]
5	17	0.235	0.409	0.226	[1173, 170, 3657]	[2043, 658, 2299]	[1129, 180, 3691]
5	17A	0.423	0.398	0.506	[423, 102, 475]	[398, 120, 482]	[506, 77, 417]
5	18	0.171	0.542	0.19	[856, 156, 3988]	[2708, 619, 1673]	[948, 131, 3921]
5	18A	0.477	0.535	0.547	[477, 98, 425]	[535, 133, 332]	[547, 68, 385]
5	19	0.13	0.649	0.121	[520, 64, 3416]	[2596, 536, 868]	[484, 64, 3452]
5	19A	0.516	0.656	0.569	[516, 93, 391]	[656, 121, 223]	[569, 73, 358]
5	20	0.064	0.778	0.076	[256, 56, 3688]	[3112, 424, 464]	[304, 28, 3668]
5	20A	0.574	0.761	0.599	[574, 101, 325]	[761, 125, 114]	[599, 85, 316]
6	2A	0.488	0.424	0.543	[488, 112, 400]	[424, 0, 576]	[543, 40, 417]
6	3A	0.511	0.421	0.527	[511, 84, 405]	[421, 0, 579]	[527, 50, 423]
6	4	0.413	0.441	0.424	[413, 78, 509]	[441, 0, 559]	[424, 0, 576]
6	4A	0.482	0.437	0.525	[482, 74, 444]	[437, 0, 563]	[525, 47, 428]
6	5	0.412	0.434	0.419	[412, 59, 529]	[434, 0, 566]	[419, 0, 581]
6	5A	0.461	0.408	0.531	[461, 81, 458]	[408, 0, 592]	[531, 44, 425]
6	6	0.364	0.43	0.424	[729, 155, 1116]	[860, 0, 1140]	[849, 22, 1129]
6	6A	0.438	0.415	0.527	[438, 65, 497]	[415, 0, 585]	[527, 41, 432]
6	7	0.417	0.415	0.438	[835, 194, 971]	[831, 0, 1169]	[875, 115, 1010]
6	7A	0.476	0.422	0.522	[476, 117, 407]	[422, 175, 403]	[522, 77, 401]
6	8	0.475	0.426	0.49	[1426, 287, 1287]	[1279, 0, 1721]	[1469, 162, 1369]
6	8A	0.523	0.566	0.54	[523, 77, 400]	[566, 122, 312]	[540, 82, 378]
6	9	0.51	0.445	0.554	[1529, 274, 1197]	[1336, 0, 1664]	[1663, 176, 1161]
6	9A	0.535	0.704	0.582	[535, 90, 375]	[704, 103, 193]	[582, 74, 344]
6	10	0.569	0.427	0.613	[2276, 337, 1387]	[1708, 0, 2292]	[2450, 268, 1282]
6	10A	0.563	0.8	0.611	[563, 100, 337]	[800, 97, 103]	[611, 56, 333]
6	11	0.583	0.424	0.641	[2333, 347, 1320]	[1698, 0, 2302]	[2564, 272, 1164]
6	11A	0.602	0.896	0.622	[2408, 360, 1232]	[3584, 416, 0]	[2488, 240, 1272]
6	12	0.34	0.42	0.397	[2718, 473, 4809]	[3360, 0, 4640]	[3174, 374, 4452]
6	12A	0.506	0.403	0.536	[506, 82, 412]	[403, 0, 597]	[536, 49, 415]
6	13	0.336	0.442	0.355	[2351, 412, 4237]	[3093, 0, 3907]	[2484, 304, 4212]
6	13A	0.486	0.433	0.527	[486, 89, 425]	[433, 0, 567]	[527, 45, 428]
6	14	0.308	0.427	0.316	[2158, 353, 4489]	[2990, 0, 4010]	[2214, 317, 4469]
6	14A	0.469	0.423	0.516	[469, 77, 454]	[423, 0, 577]	[516, 49, 435]
6	15	0.295	0.44	0.282	[1773, 293, 3934]	[2638, 0, 3362]	[1693, 277, 4030]
6	15A	0.461	0.388	0.523	[461, 65, 474]	[388, 0, 612]	[523, 44, 433]
6	16	0.257	0.427	0.248	[1539, 260, 4201]	[2560, 0, 3440]	[1488, 305, 4207]
6	16A	0.435	0.43	0.534	[435, 64, 501]	[430, 0, 570]	[534, 42, 424]
6	17	0.222	0.42	0.227	[1108, 116, 3776]	[2100, 779, 2121]	[1133, 179, 3688]
6	17A	0.484	0.436	0.516	[484, 123, 393]	[436, 152, 412]	[516, 95, 389]
6	18	0.17	0.59	0.204	[849, 126, 4025]	[2952, 495, 1553]	[1018, 101, 3881]
6	18A	0.5	0.608	0.538	[500, 95, 405]	[608, 85, 307]	[538, 73, 389]
6	19	0.127	0.697	0.112	[508, 32, 3460]	[2788, 452, 760]	[448, 88, 3464]
6	19A	0.53	0.709	0.593	[530, 103, 367]	[709, 88, 203]	[593, 60, 347]
6	20	0.076	0.819	0.071	[304, 36, 3660]	[3276, 380, 344]	[284, 24, 3692]
6	20A	0.577	0.786	0.611	[577, 87, 336]	[786, 96, 118]	[611, 60, 329]
7	2A	0.509	0.246	0.416	[509, 108, 383]	[246, 0, 754]	[416, 65, 519]
7	3A	0.522	0.264	0.413	[522, 112, 366]	[264, 0, 736]	[413, 60, 527]
7	4	0.444	0.271	0.248	[444, 81, 475]	[271, 0, 729]	[248, 0, 752]
7	4A	0.479	0.274	0.428	[479, 105, 416]	[274, 0, 726]	[428, 54, 518]
7	5	0.379	0.255	0.238	[379, 103, 518]	[255, 0, 745]	[238, 0, 762]
7	5A	0.454	0.247	0.426	[454, 111, 435]	[247, 0, 753]	[426, 49, 525]
7	6	0.363	0.257	0.267	[727, 194, 1079]	[514, 0, 1486]	[533, 50, 1417]
7	6A	0.449	0.271	0.442	[449, 97, 454]	[271, 0, 729]	[442, 63, 495]
7	7	0.38	0.265	0.279	[759, 339, 902]	[529, 0, 1471]	[557, 254, 1189]
7	7A	0.462	0.259	0.42	[462, 149, 389]	[259, 380, 361]	[420, 142, 438]
7	8	0.476	0.262	0.423	[1428, 387, 1185]	[786, 0, 2214]	[1268, 206, 1526]
7	8A	0.507	0.639	0.499	[507, 120, 373]	[639, 136, 225]	[499, 102, 399]
7	9	0.534	0.266	0.476	[1603, 316, 1081]	[797, 0, 2203]	[1429, 221, 1350]
7	9A	0.553	0.812	0.558	[553, 104, 343]	[812, 57, 131]	[558, 82, 360]
7	10	0.586	0.25	0.564	[2345, 367, 1288]	[1000, 0, 3000]	[2255, 285, 1460]
7	10A	0.554	0.847	0.554	[554, 102, 344]	[847, 72, 81]	[554, 71, 375]
7	11	0.592	0.276	0.57	[2366, 395, 1239]	[1103, 0, 2897]	[2278, 314, 1408]
7	11A	0.603	0.91	0.59	[2412, 408, 1180]	[3640, 360, 0]	[2360, 344, 1296]
7	12	0.364	0.272	0.339	[2915, 619, 4466]	[2174, 0, 5826]	[2709, 408, 4883]
7	12A	0.52	0.273	0.405	[520, 109, 371]	[273, 0, 727]	[405, 54, 541]
7	13	0.331	0.261	0.328	[2319, 525, 4156]	[1829, 0, 5171]	[2294, 353, 4353]
7	13A	0.495	0.264	0.44	[495, 107, 398]	[264, 0, 736]	[440, 55, 505]
7	14	0.316	0.257	0.302	[2209, 456, 4335]	[1798, 0, 5202]	[2117, 352, 4531]
7	14A	0.515	0.284	0.449	[515, 90, 395]	[284, 0, 716]	[449, 52, 499]
7	15	0.283	0.255	0.277	[1700, 380, 3920]	[1527, 0, 4473]	[1663, 334, 4003]
7	15A	0.437	0.248	0.411	[437, 103, 460]	[248, 0, 752]	[411, 61, 528]
7	16	0.265	0.267	0.266	[1590, 351, 4059]	[1601, 0, 4399]	[1594, 327, 4079]
7	16A	0.451	0.249	0.406	[451, 103, 446]	[249, 0, 751]	[406, 53, 541]
7	17	0.244	0.288	0.233	[1221, 139, 3640]	[1440, 1880, 1680]	[1164, 131, 3705]
7	17A	0.455	0.245	0.441	[455, 179, 366]	[245, 366, 389]	[441, 119, 440]
7	18	0.218	0.644	0.203	[1089, 79, 3832]	[3219, 615, 1166]	[1017, 81, 3902]
7	18A	0.521	0.624	0.5	[521, 119, 360]	[624, 140, 236]	[500, 87, 413]
