dealer	player	hit	stay	double	hit	stay	double
6	2A	0.512	0.436	0.543	[512, 92, 396]	[436, 0, 564]	[543, 41, 416]
6	3A	0.508	0.393	0.507	[508, 64, 428]	[393, 0, 607]	[507, 51, 442]
6	4	0.416	0.439	0.42	[416, 61, 523]	[439, 0, 561]	[420, 0, 580]
6	4A	0.473	0.415	0.521	[473, 83, 444]	[415, 0, 585]	[521, 44, 435]
6	5	0.423	0.431	0.454	[423, 61, 516]	[431, 0, 569]	[454, 0, 546]
6	5A	0.461	0.423	0.533	[461, 76, 463]	[423, 0, 577]	[533, 45, 422]
6	6	0.378	0.428	0.423	[755, 127, 1118]	[857, 0, 1143]	[846, 29, 1125]
6	6A	0.438	0.423	0.525	[438, 71, 491]	[423, 0, 577]	[525, 42, 433]
6	7	0.454	0.429	0.445	[908, 172, 920]	[859, 0, 1141]	[890, 105, 1005]
6	7A	0.493	0.41	0.531	[493, 114, 393]	[410, 172, 418]	[531, 102, 367]
6	8	0.48	0.415	0.494	[1439, 256, 1305]	[1246, 0, 1754]	[1483, 173, 1344]
6	8A	0.525	0.603	0.546	[525, 85, 390]	[603, 117, 280]	[546, 75, 379]
6	9	0.523	0.425	0.549	[1569, 269, 1162]	[1276, 0, 1724]	[1646, 206, 1148]
6	9A	0.546	0.695	0.594	[546, 77, 377]	[695, 94, 211]	[594, 66, 340]
6	10	0.564	0.415	0.595	[2255, 335, 1410]	[1660, 0, 2340]	[2378, 300, 1322]
6	10A	0.547	0.789	0.602	[547, 84, 369]	[789, 104, 107]	[602, 64, 334]
6	11	0.597	0.427	0.621	[2387, 333, 1280]	[1710, 0, 2290]	[2485, 270, 1245]
6	11A	0.578	0.894	0.619	[2312, 400, 1288]	[3576, 424, 0]	[2476, 276, 1248]
6	12	0.36	0.424	0.388	[2878, 458, 4664]	[3396, 0, 4604]	[3104, 396, 4500]
6	12A	0.523	0.438	0.478	[523, 86, 391]	[438, 0, 562]	[478, 48, 474]
6	13	0.326	0.441	0.36	[2285, 374, 4341]	[3090, 0, 3910]	[2520, 269, 4211]
6	13A	0.522	0.427	0.521	[522, 73, 405]	[427, 0, 573]	[521, 41, 438]
6	14	0.303	0.432	0.32	[2119, 391, 4490]	[3026, 0, 3974]	[2237, 369, 4394]
6	14A	0.459	0.419	0.514	[459, 79, 462]	[419, 0, 581]	[514, 50, 436]
6	15	0.288	0.416	0.27	[1731, 324, 3945]	[2496, 0, 3504]	[1618, 269, 4113]
6	15A	0.47	0.433	0.509	[470, 76, 454]	[433, 0, 567]	[509, 46, 445]
6	16	0.253	0.423	0.275	[1518, 292, 4190]	[2541, 0, 3459]	[1648, 270, 4082]
6	16A	0.424	0.416	0.519	[424, 69, 507]	[416, 0, 584]	[519, 52, 429]
6	17	0.227	0.431	0.232	[1135, 194, 3671]	[2153, 866, 1981]	[1159, 201, 3640]
6	17A	0.488	0.412	0.552	[488, 96, 416]	[412, 161, 427]	[552, 91, 357]
6	18	0.201	0.6	0.191	[1006, 106, 3888]	[3001, 513, 1486]	[956, 101, 3943]
6	18A	0.516	0.581	0.569	[516, 88, 396]	[581, 103, 316]	[569, 70, 361]
6	19	0.129	0.703	0.135	[516, 76, 3408]	[2812, 452, 736]	[540, 56, 3404]
6	19A	0.539	0.666	0.583	[539, 68, 393]	[666, 120, 214]	[583, 66, 351]
6	20	0.063	0.792	0.064	[252, 36, 3712]	[3168, 424, 408]	[256, 20, 3724]
6	20A	0.545	0.788	0.608	[545, 87, 368]	[788, 106, 106]	[608, 72, 320]
7	2A	0.515	0.274	0.435	[515, 122, 363]	[274, 0, 726]	[435, 63, 502]
7	3A	0.508	0.262	0.436	[508, 110, 382]	[262, 0, 738]	[436, 40, 524]
7	4	0.379	0.284	0.251	[379, 90, 531]	[284, 0, 716]	[251, 0, 749]
7	4A	0.454	0.26	0.421	[454, 110, 436]	[260, 0, 740]	[421, 57, 522]
7	5	0.396	0.234	0.25	[396, 99, 505]	[234, 0, 766]	[250, 0, 750]
7	5A	0.468	0.287	0.43	[468, 80, 452]	[287, 0, 713]	[430, 54, 516]
7	6	0.362	0.265	0.264	[724, 189, 1087]	[530, 0, 1470]	[528, 53, 1419]
7	6A	0.436	0.231	0.417	[436, 96, 468]	[231, 0, 769]	[417, 62, 521]
7	7	0.395	0.259	0.277	[789, 332, 879]	[517, 0, 1483]	[554, 254, 1192]
7	7A	0.452	0.262	0.43	[452, 170, 378]	[262, 362, 376]	[430, 140, 430]
7	8	0.487	0.263	0.422	[1460, 364, 1176]	[790, 0, 2210]	[1266, 221, 1513]
7	8A	0.53	0.629	0.516	[530, 119, 351]	[629, 133, 238]	[516, 86, 398]
7	9	0.53	0.264	0.499	[1589, 312, 1099]	[792, 0, 2208]	[1498, 220, 1282]
7	9A	0.548	0.745	0.562	[548, 89, 363]	[745, 81, 174]	[562, 80, 358]
7	10	0.564	0.26	0.562	[2255, 415, 1330]	[1039, 0, 2961]	[2247, 289, 1464]
7	10A	0.555	0.852	0.581	[555, 102, 343]	[852, 79, 69]	[581, 63, 356]
7	11	0.594	0.258	0.57	[2374, 416, 1210]	[1030, 0, 2970]	[2278, 280, 1442]
7	11A	0.588	0.915	0.575	[2352, 420, 1228]	[3660, 340, 0]	[2300, 268, 1432]
7	12	0.364	0.26	0.358	[2910, 610, 4480]	[2082, 0, 5918]	[2865, 429, 4706]
7	12A	0.538	0.245	0.461	[538, 103, 359]	[245, 0, 755]	[461, 45, 494]
7	13	0.311	0.256	0.327	[2179, 478, 4343]	[1793, 0, 5207]	[2288, 414, 4298]
7	13A	0.529	0.26	0.446	[529, 96, 375]	[260, 0, 740]	[446, 53, 501]
7	14	0.302	0.277	0.293	[2115, 471, 4414]	[1936, 0, 5064]	[2053, 400, 4547]
7	14A	0.467	0.284	0.421	[467, 96, 437]	[284, 0, 716]	[421, 66, 513]
7	15	0.277	0.262	0.278	[1664, 372, 3964]	[1570, 0, 4430]	[1665, 373, 3962]
7	15A	0.459	0.261	0.429	[459, 106, 435]	[261, 0, 739]	[429, 52, 519]
7	16	0.272	0.257	0.262	[1632, 348, 4020]	[1542, 0, 4458]	[1573, 298, 4129]
7	16A	0.454	0.256	0.449	[454, 109, 437]	[256, 0, 744]	[449, 56, 495]
7	17	0.239	0.273	0.253	[1196, 161, 3643]	[1363, 1800, 1837]	[1263, 128, 3609]
7	17A	0.429	0.232	0.41	[429, 170, 401]	[232, 373, 395]	[410, 160, 430]
7	18	0.199	0.626	0.199	[995, 105, 3900]	[3128, 697, 1175]	[995, 60, 3945]
7	18A	0.528	0.629	0.504	[528, 113, 359]	[629, 116, 255]	[504, 85, 411]
7	19	0.143	0.785	0.13	[572, 44, 3384]	[3140, 276, 584]	[520, 88, 3392]
7	19A	0.573	0.756	0.518	[573, 88, 339]	[756, 98, 146]	[518, 96, 386]
7	20	0.071	0.845	0.079	[284, 12, 3704]	[3380, 304, 316]	[316, 12, 3672]
7	20A	0.586	0.858	0.56	[586, 86, 328]	[858, 78, 64]	[560, 79, 361]
8	2A	0.477	0.252	0.388	[477, 126, 397]	[252, 0, 748]	[388, 54, 558]
8	3A	0.458	0.232	0.395	[458, 118, 424]	[232, 0, 768]	[395, 56, 549]
8	4	0.414	0.228	0.239	[414, 92, 494]	[228, 0, 772]	[239, 0, 761]
8	4A	0.417	0.265	0.416	[417, 119, 464]	[265, 0, 735]	[416, 51, 533]
8	5	0.338	0.25	0.234	[338, 90, 572]	[250, 0, 750]	[234, 0, 766]
8	5A	0.441	0.254	0.41	[441, 104, 455]	[254, 0, 746]	[410, 63, 527]
8	6	0.334	0.262	0.254	[668, 185, 1147]	[523, 0, 1477]	[507, 17, 1476]
8	6A	0.417	0.262	0.417	[417, 69, 514]	[262, 0, 738]	[417, 53, 530]
8	7	0.342	0.263	0.258	[683, 225, 1092]	[526, 0, 1474]	[515, 140, 1345]
8	7A	0.432	0.24	0.392	[432, 121, 447]	[240, 131, 629]	[392, 91, 517]
8	8	0.388	0.238	0.331	[1165, 493, 1342]	[714, 0, 2286]	[993, 371, 1636]
8	8A	0.446	0.387	0.428	[446, 174, 380]	[387, 347, 266]	[428, 142, 430]
8	9	0.502	0.235	0.449	[1505, 335, 1160]	[704, 0, 2296]	[1347, 242, 1411]
8	9A	0.515	0.755	0.508	[515, 104, 381]	[755, 127, 118]	[508, 92, 400]
8	10	0.549	0.232	0.528	[2196, 420, 1384]	[929, 0, 3071]	[2111, 302, 1587]
8	10A	0.556	0.861	0.484	[556, 115, 329]	[861, 78, 61]	[484, 86, 430]
8	11	0.563	0.244	0.552	[2252, 391, 1357]	[976, 0, 3024]	[2208, 346, 1446]
8	11A	0.533	0.944	0.533	[2132, 356, 1512]	[3776, 224, 0]	[2132, 320, 1548]
8	12	0.327	0.245	0.314	[2615, 611, 4774]	[1961, 0, 6039]	[2508, 492, 5000]
8	12A	0.452	0.226	0.399	[452, 127, 421]	[226, 0, 774]	[399, 48, 553]
8	13	0.302	0.24	0.296	[2117, 540, 4343]	[1682, 0, 5318]	[2075, 473, 4452]
8	13A	0.429	0.222	0.383	[429, 113, 458]	[222, 0, 778]	[383, 61, 556]
8	14	0.281	0.252	0.29	[1966, 447, 4587]	[1764, 0, 5236]	[2033, 429, 4538]
8	14A	0.462	0.243	0.423	[462, 106, 432]	[243, 0, 757]	[423, 53, 524]
8	15	0.26	0.246	0.281	[1558, 308, 4134]	[1478, 0, 4522]	[1686, 323, 3991]
8	15A	0.427	0.221	0.384	[427, 109, 464]	[221, 0, 779]	[384, 68, 548]
8	16	0.229	0.264	0.259	[1372, 367, 4261]	[1583, 0, 4417]	[1552, 379, 4069]
8	16A	0.382	0.252	0.379	[382, 90, 528]	[252, 0, 748]	[379, 61, 560]
8	17	0.237	0.236	0.225	[1186, 220, 3594]	[1179, 607, 3214]	[1127, 243, 3630]
8	17A	0.394	0.256	0.385	[394, 129, 477]	[256, 139, 605]	[385, 80, 535]
8	18	0.199	0.376	0.189	[994, 105, 3901]	[1878, 1807, 1315]	[946, 110, 3944]
8	18A	0.444	0.367	0.431	[444, 169, 387]	[367, 373, 260]	[431, 153, 416]
8	19	0.148	0.715	0.131	[592, 48, 3360]	[2860, 560, 580]	[524, 32, 3444]
8	19A	0.525	0.763	0.503	[525, 114, 361]	[763, 119, 118]	[503, 94, 403]
